Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
1294726810,396ZGC,CT,PAS,07/20/2013,17,SDN,TOYOT,P,14510,35010,35030,0,0020,20,0,919722,TD01,0000,0410P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,,,,,,,,,
1294726833,PARKERW,OH,PAS,07/28/2013,17,SDN,HONDA,P,14510,15715,34990,0,0020,20,0,919722,TD01,0000,0355P,,NY,O,1,CENTRAL PARK WEST,,0,408,D,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,,,,,,,,,
1294726985,YPP90Y,NJ,PAS,07/31/2013,17,SDN,HONDA,X,14510,35010,35030,20150430,0020,20,860,948275,0860,0000,1050A,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,,,,,,,,,
1294727151,HTM4727,PA,PAS,08/04/2013,17,SUBN,KIA,P,14510,34990,35010,0,0018,18,0,951373,TD01,0000,1120A,,NY,O,15,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,GREEN,0,0,-,0,,,,,,,,,,,,,
1294727199,J3437R,TN,PAS,08/24/2013,17,SDN,TOYOT,P,14510,35010,35030,0,0020,20,0,951373,TD01,0000,0300P,,NY,O,25,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,,,,,,,,,
1294727205,XBD7628,VA,PAS,08/04/2013,17,SUBN,JEEP,P,14510,34990,35010,0,0020,20,0,927390,TD01,0000,1115A,,NY,O,15,CPW,,0,408,K4,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,,,,,,,,,
1294727461,R613159,IL,PAS,07/17/2013,17,SDN,VOLKS,P,14510,34990,35010,0,0020,20,860,916572,0860,0000,0350P,,NY,O,15,CENTRAL PARK WEST,,0,408,J6,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,,,,,,,,,
1294727473,6TCX735,CA,PAS,07/18/2013,17,SDN,MAZDA,P,14510,35010,35030,0,0020,20,860,916572,0860,0000,0712P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,,,,,,,,,
1294727497,ZWZ43K,NJ,PAS,08/10/2013,17,SUBN,LINCO,P,14510,34990,35010,20140520,0020,20,860,916572,0860,0000,0531P,,NY,O,15,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,,,,,,,,,
1295357240,T624858C,NY,PAS,07/22/2013,21,SUBN,TOYOT,X,28790,11610,19690,20140430,0005,5,0,859944,ME03,0000,1145A,,,O,3,PIKE ST,,0,408,D1,,YBBBBBB,1201A,1159P,SILVE,0,2012,-,0,,,,,,,,,,,,,
1295546486,42909JM,NY,COM,07/17/2013,19,DELV,MERCU,P,58590,17790,18040,0,103,103,171,953627,0171,0000,0430P,0430P,Q,O,88-28,PARSONS BLVD,,20130717,408,E5,,BBBBBBB,ALL,ALL,BROWN,0,1996,-,0,,,,,,,,,,,,,
1302446411,EPS8277,NY,PAS,06/18/2013,17,SDN,BMW,C,20110,75530,81330,0,0084,84,0,0,0KCC,0000,0850A,,K,F,53,BOERUM PLACE,,0,408,C4,,YYYYYBB,0700A,0700P,BLACK,0,2005,-,0,,,,,,,,,,,,,
1302446484,452WW4,MA,PAS,06/24/2013,46,SDN,CHEVR,C,75530,20110,77730,0,0084,84,0,0,0KCC,0000,1025A,,K,F,120,SCHERMERHORN ST,,0,408,C4,,BBBBBBB,ALL,ALL,YELLO,0,2013,-,0,,,,,,,,,,,,,
1302446538,4274WY,CT,PAS,07/10/2013,46,SDN,NISSA,C,75530,20110,77730,0,0084,84,0,0,0KCC,0000,1015A,,K,F,110,SCHERMERHORN ST,,0,408,C,,BBBBBBB,ALL,ALL,GOLD,0,0,-,0,,,,,,,,,,,,,
1302453774,GEX5296,NY,PAS,07/26/2013,14,SDN,ME/BE,C,36420,26640,50120,0,0044,44,0,0,00C6,0000,1150A,,BX,F,1130,GRAND CONCOURSE,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,,,,,,,,,
1302453786,PQU5978,GA,PAS,07/11/2013,17,SDN,HONDA,C,36420,26640,50120,20130930,0044,44,0,0,00C6,0000,0714A,,BX,F,1125,GRAND CONCOURSE,,0,408,C4,,YYYYYBB,0700A,0700P,GREEN,0,0,-,0,,,,,,,,,,,,,
1302453798,867ZFX,CT,PAS,07/15/2013,17,SDN,ACURA,C,0,40404,40404,0,0044,44,0,0,00C6,0000,0711A,,BX,F,118,GARND CONCOURSE,,0,408,D5,,YYYYYBB,0700A,0700P,WHITE,0,0,-,0,,,,,,,,,,,,,
1302453919,XK558L,NJ,PAS,07/25/2013,17,P-U,GMC,C,36420,26640,50120,20130930,0044,44,0,0,00C6,0000,0930A,,BX,F,1125,GRAND CONCOURSE,,0,408,E2,,YYYYYBB,0400A,0700P,TAN,0,0,-,0,,,,,,,,,,,,,
1302456593,GEZ1408,NY,PAS,07/15/2013,17,SUBN,HYUND,X,77730,56530,75530,20150605,0084,84,0,0,0KVC,0000,0743A,,K,O,47-51,SMITH ST,,0,408,C4,,YYYYYBB,0700A,0700P,BLK,0,2013,-,0,,,,,,,,,,,,,
1302456672,S72DBG,NJ,PAS,07/23/2013,17,SDN,VOLKS,X,77730,56530,75530,0,0084,84,0,0,0KVC,0000,1042A,,K,O,43-51,SMITH ST,,0,408,C4,,YYYYYBB,0700A,0700P,BL,0,0,-,0,,,,,,,,,,,,,
1302456738,UCSLIM,NY,PAS,08/07/2013,17,SUBN,FORD,X,77730,56530,75530,20131102,0084,84,0,0,0KCV,0000,0905A,,K,,43-57,SMITH ST,,0,408,C4,,YYYYYBB,0700A,0700P,BLK,0,2003,-,0,,,,,,,,,,,,,
1302456740,GDG4383,NY,PAS,08/09/2013,17,SDN,BMW,C,77730,56530,75530,20141115,0084,84,0,0,0KCV,0000,0740A,,K,O,43-51,SMITH ST,,0,408,C4,,YYYYYBB,0700A,0700P,BL,0,2006,-,0,,,,,,,,,,,,,
1302466203,HPM2636,PA,PAS,08/08/2013,40,SUBN,CADIL,X,24245,85630,53630,0,0084,84,0,0,0KSC,0000,1100A,,K,F,271,CADMAN PLAZA EAST,,0,408,C4,,BBBBBBB,ALL,ALL,SILVR,0,0,-,0,,,,,,,,,,,,,
1302466215,VTHAMM,NY,PAS,08/08/2013,17,SDN,ME/BE,X,11800,53630,93250,20130808,0084,84,0,0,0KSC,0000,1117A,,K,F,360,ADAMS ST,,0,408,C4,,YYYYYBB,0700A,0700P,SILVR,0,2001,-,0,,,,,,,,,,,,,
1302466227,TWODAMAX,NY,SRF,08/05/2013,17,SDN,HYUND,X,53630,42730,24245,20131111,0084,84,0,0,0KSC,0000,1230P,,K,F,2,JOHNSON ST,,0,408,C4,,YYYYYBB,0700A,0700P,GRAY,0,2012,-,0,,,,,,,,,,,,,
1302466276,GCN3163,NY,PAS,07/26/2013,17,SDN,BMW,X,53630,42730,24245,20141212,0084,84,0,0,0KSC,0000,1120A,,K,F,2,JOHNSON ST,,0,408,C4,,YYYYYBB,0700A,0700P,BLACK,0,2009,-,0,,,,,,,,,,,,,
1302466318,K39845,NY,PAS,07/26/2013,17,SDN,TOYOT,X,11700,40404,40404,0,0084,84,0,0,0KSC,0000,1110A,,K,F,ONE,PIERREPONT PLAZA,,0,408,C3,,YYYYYBB,0700A,0700P,BLUE,0,0,-,0,,,,,,,,,,,,,
1302466320,ZZZ5308,NC,PAS,08/12/2013,17,SDN,FORD,X,24245,85630,53630,0,0084,84,0,0,0KSC,0000,1055A,,K,F,271,CADMAN PLAZA EAST,,0,408,C4,,YYYYYBB,0700A,0700P,RED,0,0,-,0,,,,,,,,,,,,,
1302466331,GJA3150,NY,OMS,07/12/2013,40,SDN,CHEVR,X,53630,42730,24245,20140930,0084,84,0,0,0KSC,0000,1130A,,K,F,2,JOHNSON ST,,0,408,C4,,BBBBBBB,ALL,ALL,SILVR,0,2013,-,0,,,,,,,,,,,,,
1302466367,GEK8915,NY,OMS,07/12/2013,17,SUBN,HYUND,X,53630,42730,24245,20140930,0084,84,0,0,0KSC,0000,0950A,,K,F,2,JOHNSON ST,,0,408,E2,,YYYYYBB,0700A,0700P,GRAY,0,2012,-,0,,,,,,,,,,,,,
1302466380,GGS5125,NY,PAS,07/09/2013,17,SDN,VOLVO,X,53630,42730,24245,20150507,0084,84,0,0,0KSC,0000,1100A,,K,F,2,JOHNSON ST,,0,408,C4,,YYYYYBB,0700A,0700P,WHITE,0,2004,-,0,,,,,,,,,,,,,
1302466410,Q203JU,FL,PAS,07/11/2013,17,SDN,ME/BE,X,53630,42730,24245,0,0084,84,0,0,0KSC,0000,0945A,,K,F,2,JOHNSON ST,,0,408,C4,,YYYYYBB,0700A,0700P,SILVR,0,0,-,0,,,,,,,,,,,,,
1302466483,GEF7281,NY,PAS,06/28/2013,17,,HYUND,X,11800,53630,93250,20150407,0084,84,0,0,0KSC,0000,1110A,,K,F,360,ADAMS ST,,0,408,C4,,YYYYYBB,0700A,0700P,BIRG,0,2006,-,0,,,,,,,,,,,,,
1302490679,GAR7109,NY,PAS,07/27/2013,71,SDN,CHEVR,X,0,40404,40404,20141105,100,100,835,401,0835,0000,0203P,,Q,O,,RIIS PARK D2 MAIN LO,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,2004,-,0,,,,,,,,,,,,,
1302494843,GHM9264,NY,PAS,07/20/2013,63,SUBN,ROVER,X,0,0,0,20150508,100,100,835,214,0835,0000,1245A,,Q,,,RIIS PARK MAIN LOT,SECTION A3,0,408,F3,,BBBBBBB,1200A,0600A,GY,0,2008,-,0,,,,,,,,,,,,,
1302494855,919SS3,MA,999,07/20/2013,63,SUBN,ME/BE,X,0,40404,40404,0,100,100,835,249,0835,0000,0101A,,,,,RIIS PARK LOT A2 SEC,,0,408,D5,,BBBBBBB,1200A,0600A,GREY,0,0,-,0,,,,,,,,,,,,,
1302494867,W36CKK,NJ,PAS,07/20/2013,63,SDN,NISSA,X,0,0,0,0,100,100,835,214,0835,0000,0102A,,Q,,,RIIS PARK MAI LOT,SECTION 42,0,408,F3,,BBBBBBB,1200A,0600A,BK,0,0,-,0,,,,,,,,,,,,,
1302494910,GGK6345,PA,PAS,07/12/2013,74,SUBN,FORD,X,73480,24680,32600,0,0069,69,835,214,0835,0000,0319P,,K,F,2200,ROCKAWAY PKWAY,,0,408,D,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,,,,,,,,,
1302494934,GJA3298,NY,OMS,07/19/2013,63,SDN,NISSA,X,0,0,0,20140930,100,100,835,214,0835,0000,1111P,,Q,F,,S/E LOT N CH BRIDGE,CROOSBAY BLVD,0,408,F3,,BBBBBBB,1100P,0500A,GY,0,2013,-,0,,,,,,,,,,,,,
1302494971,519585,NY,PAS,07/19/2013,63,SDN,HYUND,X,0,0,0,20130814,100,100,835,214,0835,0000,1117P,,Q,F,,S/E LOT N CHANNEL BR,CROSSBAY BLD,0,408,D,,BBBBBBB,1100P,0500A,GY,0,2002,-,0,,,,,,,,,,,,,
1302494983,RPH78,NY,SRF,07/19/2013,63,SDN,TOYOT,X,0,40890,0,20140412,100,100,835,249,0835,0000,1115P,,Q,,,CROOS BAY BLVD,N CHANNEL BRIDGE,0,408,D,,BBBBBBB,1100P,0500A,BEIGE,0,2005,-,0,,,,,,,,,,,,,
1302497108,GBN7123,NY,PAS,07/30/2013,24,SUBN,KIA,X,11310,0,0,20140904,122,122,835,611,0835,0000,1255P,,R,,,GREAT KILLS PARK,CROOKES PT,0,408,D5,,BBBBBBB,ALL,ALL,SILVR,0,2011,-,0,,,,,,,,,,,,,
1302501653,GDE3096,NY,PAS,07/24/2013,24,FOUR,ME/BE,X,0,40404,40404,20150228,122,122,835,120,0835,0000,0827P,,R,,,GREAT KILL PARK BOAT,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,1990,-,0,,,,,,,,,,,,,
1302502554,54RD87,NY,PAS,07/15/2013,20,MOTO,HONDA,X,35150,0,0,20130430,100,100,835,443,0835,0000,0501P,0501A,Q,,,BEACH 169TH ST,BEACH CHANNEL BRIDGE,20130715,408,D,,BBBBBBB,ALL,ALL,RED,0,1988,-,0,,,,,,,,,,,,,
1302511257,GFP5637,NY,PAS,07/18/2013,20,SUBN,TOYOT,X,0,40404,40404,20150531,100,100,835,190,0835,0000,1125P,,Q,,,ALBANNERS EAST,,0,408,D,,BBBBBBB,1100P,0500A,GRAY,0,2012,-,0,,,,,,,,,,,,,
1302513229,LMH615,TX,PAS,07/21/2013,20,SUBN,HONDA,X,0,0,0,0,100,100,835,350,0835,0000,0112A,,Q,F,,N/B CROOSBAY BLVD,N CHANNEL BRIDGE,0,408,D,,BBBBBBB,1100P,0500A,BLUE,0,0,-,0,,,,,,,,,,,,,
1302513254,GEF7457,NY,PAS,07/21/2013,20,SDN,PONTI,X,0,0,0,20140607,100,100,835,0,0835,0000,0137A,,Q,F,,N/S CROOSBAY BLVD,N CHANNEL BRIDGE,0,408,D,,BBBBBBB,1100P,0500A,WHITE,0,1995,-,0,,,,,,,,,,,,,
1302513333,GGH6934,NY,PAS,07/27/2013,20,SDN,ME/BE,X,40890,0,0,20150506,100,100,835,219,0835,0000,1136P,,Q,,,N CHANNEL BRIDGE,PARKING LOT E/S,0,408,D,,BBYYBBB,1100P,0500A,BLACK,0,1988,-,0,,,,,,,,,,,,,
1302870749,96272JY,NY,COM,08/02/2013,14,DELV,MITSU,T,18250,10210,10110,20150630,0019,19,0,351266,0NIC,0000,0930A,,NY,O,225,E 63 ST,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,2005,-,0,,,,,,,,,,,,,
1305348461,WVE5014,VA,PAS,08/16/2013,21,SDN,TOYOT,S,54130,13230,80030,0,0088,88,0,980317,KN02,0000,0235A,,K,F,33,LAFAYETTE AVE,,0,408,D1,,YBYBYBB,1200A,0300A,BLACK,0,0,-,0,,,,,,,,,,,,,
1305400720,STN2382,NC,PAS,08/03/2013,40,SUBN,NISSA,P,0,0,0,0,0044,44,44,944812,0044,0000,0157A,,BX,,,N/W W 165 ST,C/O OGDEN,0,408,F7,,BBBBBBB,ALL,ALL,GRAY,0,2004,-,0,,,,,,,,,,,,,
1306112679,97732JZ,NY,COM,08/15/2013,46,REFG,HINO,X,36490,6740,7040,20131231,108,108,108,918036,0108,0000,1150P,,Q,F,21-10,BORDEN AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2003,-,0,,,,,,,,,,,,,
1306114172,91628MC,NY,COM,08/02/2013,46,REFG,HINO,P,36490,6740,7040,20131130,108,108,108,951042,0108,0000,0448A,,Q,O,21-51,BORDEN AVE,,0,408,J6,,BBBBBBB,ALL,ALL,WH,0,2007,-,0,,,,,,,,,,,,,
1306114184,84614JR,NY,COM,08/23/2013,46,REFE,ISUZU,P,36490,6740,7040,20150430,108,108,108,951042,0108,0000,0442A,,Q,O,21-09,BORDEN AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,2012,-,0,,,,,,,,,,,,,
1306114196,62092JL,NY,COM,08/23/2013,46,REFG,ISUZU,P,0,40404,40404,20131231,108,108,108,951042,0108,0000,0246A,,Q,O,21-09,BORDEN AE,,0,408,F1,,BBBBBBB,ALL,ALL,OR,0,2011,-,0,,,,,,,,,,,,,
1306116235,GGU4798,NY,PAS,07/27/2013,46,,VOLKS,P,18240,10140,63590,20150529,108,108,108,949596,0108,0000,0452P,,Q,F,45-56,90TH STREET,,0,408,F2,,BBBBBBB,ALL,ALL,BL,0,2013,-,0,,,,,,,,,,,,,
1306206844,55197JJ,NY,COM,08/06/2013,46,DELV,,P,13110,37470,37490,20140930,0034,34,34,926416,0034,0000,0410P,,NY,F,105,BENNETT AVE,,0,408,F1,,BBBBBBB,ALL,ALL,W,0,2001,-,0,,,,,,,,,,,,,
1306632559,44EB17,NY,PAS,07/27/2013,14,,HP,P,0,40404,40404,20140430,0045,45,45,943587,0045,0000,0550P,,BX,F,2,CITY IS AVE,,0,408,J2,,BBBBBBB,ALL,ALL,RED,0,2002,-,0,,,,,,,,,,,,,
1306632572,45940MD,NY,COM,08/01/2013,78,VAN,FORD,P,44240,40404,40404,20150430,0045,45,45,943887,0045,0000,1145P,,BX,F,416,KIRBY ST,,0,408,J6,,BBBBBBB,ALL,ALL,WHT,0,2013,-,0,,,,,,,,,,,,,
1306632584,X332JF,NY,PAS,08/02/2013,14,SUBN,MINI,P,0,40404,40404,20141129,0045,45,45,943587,0045,0000,0735P,,BX,F,2,CITY IS AVE,,0,408,J6,,BBBBBBB,ALL,ALL,BLUE,0,2011,-,0,,,,,,,,,,,,,
1306755700,Y309CZ,NY,PAS,08/02/2013,21,SUBN,,S,52490,39490,52390,20141119,109,109,0,903559,QE07,0000,1107A,,,F,137-06,LABURNUM AVE,,0,408,D1,,BBBBYBB,1100A,1230P,GRAY,0,2013,-,0,,,,,,,,,,,,,
1306757605,T506622C,NY,SRF,08/06/2013,21,SDN,LINCO,S,54580,38990,41340,20140228,109,109,0,980353,QE07,0000,0837A,,Q,F,4318,MAIN STREET,,0,408,D1,,YYYYYYB,0830A,0900A,BK,0,2009,-,0,,,,,,,,,,,,,
1306757629,561CVB,NJ,PAS,08/06/2013,21,SUBN,BMW,S,45990,40404,40404,0,109,109,0,980353,QE07,0000,0907A,,Q,F,39-07,FRANKLIN AVENUE,,0,408,D1,,BYBBBBB,0900A,1030A,SIL,0,0,-,0,,,,,,,,,,,,,
1306757850,HFB706,SC,PAS,08/02/2013,21,SDN,TOYOT,S,53190,12140,12240,0,109,109,0,916593,QE07,0000,1145A,,Q,O,58-26,LAWRENCE STREET,,0,408,D1,,BBBBYBB,1100A,1230P,BLACK,0,0,-,0,,,,,,,,,,,,,
1306757861,5CA14E,MI,PAS,08/02/2013,21,SDN,HONDA,S,53190,12140,12240,0,109,109,0,916593,QE07,0000,1145A,,Q,O,58-56,LAWRENCE STREET,,0,408,D1,,BBBBYBB,1100A,1230A,GREEN,0,0,-,0,,,,,,,,,,,,,
1306759237,GHN2704,NY,PAS,08/02/2013,21,SUBN,JEEP,S,61090,23180,23290,20150607,109,109,0,909934,QE07,0000,1109A,,Q,O,149-33,ROOSEVELT AVE,,0,408,D1,,BBBBYBB,1100A,1230P,WHT,0,2003,-,0,,,,,,,,,,,,,
1306759249,GEK4279,NY,PAS,08/02/2013,21,SDN,BMW,S,23180,29290,61390,20150329,109,109,0,901939,QE07,0000,1112A,,Q,F,41-52,149 PL,,0,408,D1,,BBBBYBB,1100A,1230P,BLACK,0,2002,-,0,,,,,,,,,,,,,
1306759250,G652391,IL,PAS,08/16/2013,21,SDN,NISSA,S,23290,9540,29290,20130930,109,109,0,901934,QE07,0000,1110A,,Q,F,41-31,150 ST,,0,408,D1,,BBBBYBB,1100A,1230P,WHT,0,2009,-,0,,,,,,,,,,,,,
1306759262,GDL7143,NY,PAS,08/16/2013,21,SDN,BMW,S,23180,61090,29440,20141225,109,109,0,901934,QE07,0000,1120A,,Q,O,40-07,149 PL,,0,408,D1,,BBBBYBB,1100A,1230P,WHT,0,2013,-,0,,,,,,,,,,,,,
1306759353,GFH7323,NY,PAS,07/22/2013,21,SDN,NISSA,S,24340,40690,42120,20131111,109,109,0,901934,QE07,0000,1105A,,Q,F,36-20,166 ST,,0,408,D1,,YBBBBBB,1100A,1230P,GRAY,0,2004,-,0,,,,,,,,,,,,,
1306759432,JLE4572,PA,PAS,07/23/2013,21,SDN,NISSA,S,24540,40690,42120,20130930,109,109,0,901934,QE07,0000,1112A,,Q,F,36-16,169 ST,,0,408,D1,,BYBBBBB,1100A,1230P,BLK,0,0,-,0,,,,,,,,,,,,,
1306759444,GHT3778,NY,PAS,07/23/2013,21,SDN,AUDI,S,24540,40690,42120,20150411,109,109,0,901934,QE07,0000,1120A,,Q,F,36-34,169 ST,,0,408,D1,,BYBBBBB,1100A,1230P,BLK,0,2007,-,0,,,,,,,,,,,,,
1306759481,HSW7971,PA,PAS,07/24/2013,21,SUBN,MAZDA,S,24040,8590,57790,20140131,109,109,0,901534,QE07,0000,1107A,,Q,F,35-53,160 ST,,0,408,D1,,BBYBBBB,1100A,1230P,BLK,0,2012,-,0,,,,,,,,,,,,,
1306771560,T615425C,NY,SRF,08/19/2013,21,SDN,FORD,S,40930,14180,54050,20140131,0070,70,0,583306,BK14,0000,0306A,,K,F,1916,FLATBUSH AVE,,0,408,D1,,YBYBYBB,0300A,0600A,WHITE,0,2006,-,0,,,,,,,,,,,,,
1306771572,WUV6389,VA,PAS,08/19/2013,21,SUBN,GMC,S,12330,35730,40930,0,0070,70,0,583306,BK14,0000,0318A,,K,F,2111,ALBERMARLE RD,,0,408,D1,,YBYBYBB,0300A,0600A,WHITE,0,0,-,0,,,,,,,,,,,,,
1306771584,XAPL92,NJ,PAS,08/19/2013,21,VAN,FORD,S,14080,35380,35430,0,0070,70,0,583306,BK14,0000,0225A,,K,F,1319,AVENUE J,,0,408,D1,,YBYBYBB,1200A,0300A,WHITE,0,0,-,0,,,,,,,,,,,,,
1306771596,GFF5181,NY,PAS,08/19/2013,21,SUBN,CHEVR,S,12330,35730,40930,20150324,0070,70,0,583306,BK14,0000,0325A,,K,F,2111,ALBERMARLE RD,,0,408,D1,,YBYBYBB,0300A,0600A,BLUE,0,2004,-,0,,,,,,,,,,,,,
1306771614,62JH904,CA,PAS,08/19/2013,21,SUBN,ROVER,S,12330,35730,40930,0,0070,70,0,583306,BK14,0000,0329A,,K,F,2111,ALBERMARLE RD,,0,408,D1,,YBYBYBB,0300A,0600A,BLACK,0,0,-,0,,,,,,,,,,,,,
1306775462,P47914,MA,COM,07/29/2013,40,VAN,FORD,S,29890,49430,46290,0,101,101,0,538104,QW07,0000,0745A,,Q,F,506,BEACH 9TH STREET,,0,408,D1,,BBBBBBB,ALL,ALL,TAN,0,0,-,0,,,,,,,,,,,,,
1306816531,GBJ1802,NY,PAS,07/23/2013,21,NHL,HONDA,S,38690,67600,56790,20140829,101,101,0,921445,QE14,0000,1205P,,Q,F,1288,CENTRAL AVE,,0,408,D1,,BYBBBBB,1130A,0100P,GR,0,1998,-,0,,,,,,,,,,,,,
1307045133,GFC8953,NY,PAS,07/26/2013,20,SDN,HONDA,P,61030,83730,19830,20131106,0075,75,75,930201,0075,0000,0204P,,K,F,472,MILLER AVE,,0,408,D1,,BBBBBBB,ALL,ALL,BK,0,1997,-,0,,,,,,,,,,,,,
1307045157,H892515,IL,PAS,07/26/2013,21,VAN,FORD,P,44330,39230,56430,0,0075,75,75,930201,0075,0000,0900A,0850A,K,O,729,GLENMORE AVE,,20130726,408,D1,,BYBBYBB,0800A,0930A,WH,0,0,-,0,,,,,,,,,,,,,
1307238828,GEX4415,NY,PAS,08/18/2013,14,SDN,HONDA,P,65120,40404,40404,20150421,0043,43,43,942182,0043,0000,0814P,,BX,F,3,SOUNDVIEW AVE,,0,408,J2,,BBBBBBB,ALL,ALL,BLK,0,2004,-,0,,,,,,,,,,,,,
1307373021,X6672Z,NJ,PAS,07/26/2013,21,DELV,,S,54070,38430,86530,0,0071,71,0,534144,SI02,0000,0810A,,K,F,300,KINGSTON AVE,,0,408,D1,,YYYYYBB,0800A,0830A,WHITE,0,0,-,0,,,,,,,,,,,,,
1307452577,55003JG,NY,COM,08/12/2013,46,DELV,WORKV,P,10010,18050,18070,20131013,0017,17,135,913931,0135,0000,0940A,,NY,O,976,1ST AVE,,0,408,L2,,BBBBBBB,ALL,ALL,WHITE,0,1999,-,0,,,,,,,,,,,,,
1307452589,88550JU,NY,COM,08/12/2013,18,VAN,DODGE,P,10110,18010,18030,0,0017,17,135,913931,0135,0000,0935A,,NY,F,979,2ND AVE,,0,408,F4,,YYYYYBB,0700A,1000A,WHITE,0,2005,-,0,,,,,,,,,,,,,
1307452590,40470JU,99,COM,08/12/2013,46,DELV,MERCU,P,10110,18490,18510,20140630,0023,23,135,913931,0135,0000,0920A,,,F,1448,2ND AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2004,-,0,,,,,,,,,,,,,
1307846634,7L6A,NY,SRF,08/14/2013,40,TAXI,TOYOT,P,36210,10610,10810,20140228,0028,28,28,905713,0028,0000,0306A,,,O,216,W 122 STREET,,0,408,C,,BBBBBBB,ALL,ALL,YELLO,0,2010,-,7,,,,,,,,,,,,,
1307846646,7L6A,NY,SRF,08/14/2013,14,TAXI,TOYOT,P,36210,10610,10810,20140228,0028,28,28,905713,0028,0000,0306A,,NY,O,216,W 122 STREET,,0,408,E2,,BBBBBBB,ALL,ALL,YELLO,0,2010,-,0,,,,,,,,,,,,,
1307906576,68313JS,NY,COM,08/09/2013,14,VAN,TRUCK,K,0,0,0,20140608,0041,41,4,160266,0004,0000,0505P,,K,,,BAY PKWY AVE,SETH LOW PK,0,408,D4,,BBBBBBB,ALL,ALL,WHITE,0,2002,-,0,,,,,,,,,,,,,
1307935217,H50DHM,NJ,PAS,07/30/2013,40,SDN,MITSU,K,45210,40404,40404,0,0001,1,1,160434,0001,0000,0607A,,NY,F,21,W. THAMES ST,,0,408,D5,,BBBBBBB,ALL,ALL,GREEN,0,0,-,5,,,,,,,,,,,,,
1307949484,GEZ5475,NY,PAS,08/11/2013,39,SUBN,FORD,K,0,0,0,20150424,0001,1,1,160188,0001,0000,0722P,0701P,NY,F,,HUDSON RIVER PARK,PIER 40 SOUTH PARKIN,0,408,F7,,BBBBBBB,ALL,ALL,WHITE,0,2013,-,0,,,,,,,,,,,,,
1307952574,UDV99Y,NJ,PAS,07/21/2013,20,SDN,CHEVR,K,0,0,0,0,122,122,5,160144,0005,0000,0307P,,R,,,INSIDE LOT #2 SO. BE,,0,408,D,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,,,,,,,,,
1307952653,GEW3430,NY,PAS,08/12/2013,14,SUBN,BUICK,K,0,0,0,20150324,102,102,5,160144,0005,0000,0637P,,R,O,,JEFFERSON AVE CIRCLE,MIDLAND BCH,0,408,J2,,BBBBBBB,ALL,ALL,TAN,0,2004,-,0,,,,,,,,,,,,,
1307952987,GGW8417,NY,PAS,07/21/2013,63,SUBN,JEEP,K,0,0,0,20150626,122,122,5,160273,0005,0000,0639P,,R,,,INSIDE PARKING LOT C,EBBITTS,0,408,D1,,BBBBBBB,ALL,ALL,BLACK,0,2003,-,0,,,,,,,,,,,,,
1307953116,GAB6661,NY,PAS,08/11/2013,20,SDN,LINCO,K,0,0,0,20141003,122,122,5,160111,0005,0000,0325P,,R,,,CRESCENT BEACH PARK,AT E/O WINMAN AVE,0,408,D,,BBBBBBB,ALL,ALL,WHT,0,2006,-,0,,,,,,,,,,,,,
1307953128,N34ASW,NJ,PAS,08/11/2013,61,SDN,CHEVR,K,0,0,0,0,122,122,5,160111,0005,0000,0331P,,R,,,CRESCENT BEACH PARK,END OF WINMAN AVE,0,408,D,,BBBBBBB,ALL,ALL,BL,0,0,-,0,,,,,,,,,,,,,
